,nine_partition_label,url,label
0,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/m/minocycline-pigmentation/minocycline-pigmentation1.jpg,drug induced pigmentary changes
1,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/photosensitivity/photosensitivity18.jpg,photodermatoses
2,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma71.jpg,dermatofibroma
3,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis38.jpg,psoriasis
4,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-scalp/psoriasis-scalp20.jpg,psoriasis
5,malignant dermal,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma4.jpg,kaposi sarcoma
6,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome98.jpg,neutrophilic dermatoses
7,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare41.jpg,granuloma annulare
8,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans88.jpg,nematode infection
9,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis114.jpg,allergic contact dermatitis
10,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum88.jpg,necrobiosis lipoidica
11,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome50.jpg,neutrophilic dermatoses
12,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa50.jpg,hidradenitis
13,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/L/lmm/lmm6.jpg,melanoma
14,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris150.jpg,acne vulgaris
