label,nine_partition_label,three_partition_label,url,url_alphanum
drug induced pigmentary changes,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/m/minocycline-pigmentation/minocycline-pigmentation1.jpg,httpwwwdermaamincomsiteimagesclinicalpicmminocyclinepigmentationminocyclinepigmentation1jpg.jpg
photodermatoses,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/photosensitivity/photosensitivity18.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphotosensitivityphotosensitivity18jpg.jpg
dermatofibroma,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma71.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatofibromadermatofibroma71jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis38.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispsoriasis38jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-scalp/psoriasis-scalp20.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisscalppsoriasisscalp20jpg.jpg
kaposi sarcoma,malignant dermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma4.jpg,httpwwwdermaamincomsiteimagesclinicalpickkaposissarcomakaposissarcoma4jpg.jpg
neutrophilic dermatoses,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome98.jpg,httpwwwdermaamincomsiteimagesclinicalpicssweetsyndromesweetsyndrome98jpg.jpg
granuloma annulare,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare41.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare41jpg.jpg
nematode infection,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans88.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlarvamigranslarvamigrans88jpg.jpg
allergic contact dermatitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis114.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis114jpg.jpg
necrobiosis lipoidica,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum88.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum88jpg.jpg
neutrophilic dermatoses,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome50.jpg,httpwwwdermaamincomsiteimagesclinicalpicssweetsyndromesweetsyndrome50jpg.jpg
hidradenitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa50.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa50jpg.jpg
melanoma,malignant melanoma,malignant,https://www.dermaamin.com/site/images/clinical-pic/L/lmm/lmm6.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlmmlmm6jpg.jpg
acne vulgaris,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris150.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris150jpg.jpg
necrobiosis lipoidica,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum7.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum7jpg.jpg
sarcoidosis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-of-the-skin-plaque-form/sarcoidosis-of-the-skin-plaque-form15.jpg,httpwwwdermaamincomsiteimagesclinicalpicssarcoidosisoftheskinplaqueformsarcoidosisoftheskinplaqueform15jpg.jpg
xeroderma pigmentosum,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum13.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum13jpg.jpg
