,label,url
0,drug induced pigmentary changes,https://www.dermaamin.com/site/images/clinical-pic/m/minocycline-pigmentation/minocycline-pigmentation1.jpg
1,photodermatoses,https://www.dermaamin.com/site/images/clinical-pic/p/photosensitivity/photosensitivity18.jpg
2,dermatofibroma,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma71.jpg
3,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis38.jpg
4,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-scalp/psoriasis-scalp20.jpg
5,kaposi sarcoma,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma4.jpg
6,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome98.jpg
7,granuloma annulare,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare41.jpg
8,nematode infection,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans88.jpg
9,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis114.jpg
10,necrobiosis lipoidica,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum88.jpg
11,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome50.jpg
12,hidradenitis,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa50.jpg
13,melanoma,https://www.dermaamin.com/site/images/clinical-pic/L/lmm/lmm6.jpg
14,acne vulgaris,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris150.jpg
15,necrobiosis lipoidica,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum7.jpg
16,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-of-the-skin-plaque-form/sarcoidosis-of-the-skin-plaque-form15.jpg
17,xeroderma pigmentosum,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum13.jpg
18,melanoma,https://www.dermaamin.com/site/images/clinical-pic/m/melanoma/melanoma17.jpg
19,dermatofibroma,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma13.jpg
20,actinic keratosis,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses83.jpg
21,scleroderma,https://www.dermaamin.com/site/images/clinical-pic/L/localized-scleroderma/localized-scleroderma3.jpg
22,hidradenitis,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa18.jpg
23,syringoma,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma33.jpg
24,folliculitis,https://www.dermaamin.com/site/images/clinical-pic/f/folliculitis/folliculitis89.jpg
25,pityriasis lichenoides chronica,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica31.jpg
26,porphyria,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda100.jpg
27,dyshidrotic eczema,https://www.dermaamin.com/site/images/clinical-pic/h/hidrotic_ectodermal_dysplasia/hidrotic_ectodermal_dysplasia4.jpg
28,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/r/rhus_dermatitis/rhus_dermatitis39.jpg
29,seborrheic dermatitis,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-dermatitis/seborrheic-dermatitis52.jpg
30,prurigo nodularis,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis27.jpg
31,acne,https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids7.jpg
32,neurofibromatosis,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome90.jpg
33,eczema,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema99.jpg
34,neurofibromatosis,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome37.jpg
35,pediculosis lids,https://www.dermaamin.com/site/images/clinical-pic/p/pediculosis-capitis/pediculosis-capitis3.jpg
36,basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma/basal_cell_carcinoma33.jpg
37,pityriasis rubra pilaris,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rubra_pilaris/pityriasis_rubra_pilaris62.jpg
38,pityriasis rosea,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea6.jpg
39,livedo reticularis,https://www.dermaamin.com/site/images/clinical-pic/L/livedo-reticularis/livedo-reticularis26.jpg
40,necrobiosis lipoidica,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum55.jpg
41,stevens johnson syndrome,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome27.jpg
42,erythema multiforme,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_multiforme/erythema_multiforme11.jpg
43,syringoma,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma37.jpg
44,acrodermatitis enteropathica,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica52.jpg
45,epidermolysis bullosa,https://www.dermaamin.com/site/images/clinical-pic/e/epidermolysis_bullosa_simplex_of_weber_cockayne_type/epidermolysis_bullosa_simplex_of_weber_cockayne_type1.jpg
46,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-congenital/psoriasis-congenital4.jpg
47,prurigo nodularis,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis97.jpg
48,dermatomyositis,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis89.jpg
49,actinic keratosis,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses26.jpg
50,urticaria,https://www.dermaamin.com/site/images/clinical-pic/d/dermographic_urticaria/dermographic_urticaria31.jpg
51,basal cell carcinoma morpheiform,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform6.jpg
52,necrobiosis lipoidica,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum30.jpg
53,vitiligo,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo10.jpg
54,erythema nodosum,https://www.dermaamin.com/site/images/clinical-pic/e/erythema-nodosum/erythema-nodosum69.jpg
55,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-pustular/psoriasis-pustular54.jpg
56,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail84.jpg
57,scleroderma,https://www.dermaamin.com/site/images/clinical-pic/s/scleredema/scleredema28.jpg
58,lupus erythematosus,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_chronicus_verrucous/lupus_erythematosus_chronicus_verrucous11.jpg
59,lichen planus,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_follicularis/lichen_planus_follicularis13.jpg
60,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail97.jpg
61,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis53.jpg
62,sun damaged skin,https://www.dermaamin.com/site/images/clinical-pic/h/hot_water_burn/hot_water_burn1.jpg
63,drug eruption,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption141.jpg
64,dermatofibroma,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma57.jpg
65,xeroderma pigmentosum,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum14.jpg
66,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum119.jpg
67,scabies,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies43.jpg
68,cheilitis,https://www.dermaamin.com/site/images/clinical-pic/m/melkersson-rosenthal-syndrome/melkersson-rosenthal-syndrome3.jpg
69,urticaria pigmentosa,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa19.jpg
70,behcets disease,https://www.dermaamin.com/site/images/clinical-pic/b/behcets_disease/behcets_disease4.jpg
71,nevocytic nevus,https://www.dermaamin.com/site/images/clinical-pic/n/nevocyticn-nevus/nevocyticn-nevus15.jpg
72,mycosis fungoides,https://www.dermaamin.com/site/images/clinical-pic/m/mycosis-fongoide/mycosis-fongoide99.jpg
73,porphyria,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda51.jpg
74,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome53.jpg
75,superficial spreading melanoma ssm,https://www.dermaamin.com/site/images/clinical-pic/s/superfacial-spreading-melanoma/superfacial-spreading-melanoma112.jpg
76,porokeratosis of mibelli,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli56.jpg
77,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-genital/psoriasis-genital7.jpg
78,juvenile xanthogranuloma,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma57.jpg
79,milia,https://www.dermaamin.com/site/images/clinical-pic/m/miliaria/miliaria20.jpg
80,granuloma pyogenic,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum10.jpg
81,papilomatosis confluentes and reticulate,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis_confluent_reticulated/papillomatosis_confluent_reticulated18.jpg
82,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-small-nodular-type/sarcoidosis-small-nodular-type1.jpg
